WORD,TOTAL_COUNT
gizzard,1
used,1
even,2
Korea's,1
got,1
him,2
could,1
time.,1
intentionally,1
not,1
will,1
replaced,1
by,2
must,1
country's,1
sleeping,1
you,3
don't,1
nuclear,1
popular,1
more,2
likes,1
man,1
characters,1
brewery,1
Pyongyang,1
cast,1
eat,1
was,1
fields.,1
their,6
hardworking,1
for,2
"people,",1
how,3
motivated,1
invade,1
celebrate,1
"though,",1
"chicken,",1
one,1
phosphorus,1
leadership,1
meth,1
in,2
pleas,1
foreign,1
optional,1
Bill,1
arsenal,1
"world,",1
they,1
Korea:,1
with,6
"bucket,",1
18,2
"twitchy,",1
enemies,1
out,1
take,1
treat,1
"YOU,",1
"me,",1
than,1
your,1
kept,1
convicted,1
secretive,1
Stalinist,1
plant,1
answer,1
suppress,1
needs,1
(NB,1
British,1
starve,1
L,1
YOUR,1
steal,1
beetroot,1
transported,1
like!,1
womenfolk?,1
Ever,1
past,1
deep-seated,1
addicts,1
shift,1
photographing,1
after,1
go,1
accepting,1
kindness,1
"syphilitic,",1
"many,",1
is,2
Cracked,1
harrowing,1
Like,1
nothing,1
people,1
twinkling,1
remove,1
different,1
proud,1
dried,1
makes,1
any,1
real,1
Or,1
attentive,1
its,2
Il,1
only,1
have,1
imperfections,1
homemade,1
You,1
feeble,1
nation,1
downtown,1
Mostly.,1
things,2
brew,1
fried,3
built,1
while,1
rest,1
the,22
wise,1
scare,1
anywhere,1
fatalities.,1
there's,1
feathers,1
leader,2
minimal,1
see,1
order,1
We've,1
nation's,1
from,2
Bill's,1
"bought,",1
them.,1
"decade,",1
Korean,1
self-doubt,1
bauxite.,1
heavily,1
"swine,",1
hour,1
pardon,1
politically,1
up,1
Clinton,1
like,4
Yes,1
Gates).,1
and,11
overburdened,1
sweet,1
do,1
nectar,1
every,1
excessively,1
Kim,1
"deserves,",1
are,1
delivered,1
sold,1
look,1
yourself.,1
capitalists,1
part,1
Louis,1
Americans,1
moment,2
reproduce,1
Only,1
of,11
bottles,1
very,1
no,1
boasts?,1
call,1
secrets,1
question,1
The,1
Hubbard,1
portrayal,1
chicken,2
seasoning,1
wacky,1
bourgeois,1
rightly,1
an,1
aimed,1
something,1
sensitive,1
at,4
heard,1
time,1
paranoid?,1
that,4
prefer,1
entertain,1
would,2
permit,1
armed,1
let,1
company,1
alone,1
all,2
so,2
good,1
a,10
nice,1
discover,1
if,2
deluded,1
,11
as,1
this,2
Marxist,1
jealousy.,1
rebuilt,1
near,1
"M*A*S*H,",1
fish,1
pity,1
about,3
spies,1
American?,1
his,2
then,3
Korea,2
belief,1
beer,4
When,1
restaurant,1
blend,1
or,1
episodes,1
to,11
ration.,1
many,2
"disassembled,",1
last,1
Jong,1
imprecisely,1
American,1
North,5
ramblings,1
Henry,1
stories,1
people's,1
nations,1
he,2
Ron,1
"cube,",1
pull,1
And,3
